pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,666.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,648.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,650.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,651.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,660.07
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,659.32
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,660.41
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,663.32
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,671.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,673.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,673.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,672.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,683.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,672.44
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,699.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,685.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,699.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,699.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,701.95
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,693.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,682.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,699.33
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,716.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,712.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,700.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,676.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,675.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,669.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,677.23
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,677.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,665.07
