model,harness,fold,train_end,test_start,test_end,n_train,n_test,mae,mape,medae,mae_clean,outlier_share
null (median rpm),forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,372.34792462020556,17.013318340691633,250.70376738478308,338.59656796794167,0.8832086450540316
null (median rpm),forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,319.7588660454279,15.440320298962332,204.77124368626642,295.5277524143983,0.7865052261202525
null (median rpm),forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,402.6811710932455,22.309286483031197,252.91357436165924,387.9771092924501,0.4969973079312487
base,forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,397.3159960564758,16.235592875593824,246.01428644494644,363.1771348589688,0.8832086450540316
base,forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,300.97773625766877,14.308856662777641,187.275039282963,276.08396501920936,0.7865052261202525
base,forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,342.3480490583456,21.249841167193164,239.0973778029104,327.06367897354363,0.4969973079312487
+ equipment,forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,384.1944425637623,15.734363017986782,236.23796032627104,350.15926457606366,0.8832086450540316
+ equipment,forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,284.9817986953448,13.477341825145142,175.19591711712428,260.1195758456632,0.7865052261202525
+ equipment,forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,330.65597761467717,20.47871954878185,235.46777283312554,315.5045325665161,0.4969973079312487
+ market,forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,308.1922130830807,13.277014620338054,190.3525710130682,275.61486042020795,0.8832086450540316
+ market,forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,283.3204262480119,13.760894920529282,176.23148943651722,258.9881116533971,0.7865052261202525
+ market,forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,236.72717428133458,13.499286717734657,151.07170162362138,220.06532158260592,0.4969973079312487
+ day of week,forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,306.4536654003293,13.216010051357832,188.37550717631962,273.881575251675,0.8832086450540316
+ day of week,forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,282.6068676730175,13.7221463602935,175.39119649046302,258.253244983708,0.7865052261202525
+ day of week,forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,236.8793958832344,13.474236300308645,151.13883965932268,220.1960763121581,0.4969973079312487
+ lane native,forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,253.4099002453993,10.240963633634106,130.86296918466587,220.562127663335,0.8832086450540316
+ lane native,forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,222.70647032843277,9.958926263995984,114.63786754960847,197.90432377042683,0.7865052261202525
+ lane native,forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,181.0734762785207,9.553374122821596,95.1515143497702,164.27221844445418,0.4969973079312487
+ month and trend,forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,252.9546110818248,10.233647629358046,131.75924858095334,220.15203664836923,0.8832086450540316
