model,harness,fold,train_end,test_start,test_end,n_train,n_test,mae,mape,medae,mae_clean,outlier_share
null (median rpm),forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,372.34792462020556,17.013318340691633,250.70376738478308,338.59656796794167,0.8832086450540316
null (median rpm),forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,319.7588660454279,15.440320298962332,204.77124368626642,295.5277524143983,0.7865052261202525
null (median rpm),forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,402.6811710932455,22.309286483031197,252.91357436165924,387.9771092924501,0.4969973079312487
null (median rpm),random,1,shuffled,shuffled,shuffled,19055,9624,353.2895374301756,17.449840599428505,220.9852134927412,328.5585569560767,0.6442227763923525
null (median rpm),random,2,shuffled,shuffled,shuffled,28679,9663,340.3796764636908,16.95145987948018,216.18303920614858,318.0553934944223,0.6519714374417882
null (median rpm),random,3,shuffled,shuffled,shuffled,38342,9658,344.5818030429745,17.504849259808076,218.26486029993873,324.980745122632,0.5798301925864567
date lookup (leak probe),forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,372.34792462020556,17.013318340691633,250.70376738478308,338.59656796794167,0.8832086450540316
date lookup (leak probe),forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,319.7588660454279,15.440320298962332,204.77124368626642,295.5277524143983,0.7865052261202525
date lookup (leak probe),forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,402.6811710932455,22.309286483031197,252.91357436165924,387.9771092924501,0.4969973079312487
date lookup (leak probe),random,1,shuffled,shuffled,shuffled,19055,9624,312.3849021552514,15.109947496935671,191.8354519982746,287.5450844634253,0.6442227763923525
date lookup (leak probe),random,2,shuffled,shuffled,shuffled,28679,9663,305.14605782347735,14.920755988289264,189.59543318649025,282.84973873436337,0.6519714374417882
date lookup (leak probe),random,3,shuffled,shuffled,shuffled,38342,9658,302.724815944146,15.22529363080829,189.63700096149682,283.3284412717785,0.5798301925864567
