model,harness,fold,train_end,test_start,test_end,n_train,n_test,mae,mape,medae,mae_clean,outlier_share
HistGradientBoosting,forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,252.81353945026783,10.211739854756093,132.35285721759323,219.9395539664849,0.8832086450540316
HistGradientBoosting,forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,238.49287288905708,10.927059749208217,128.18508122942967,214.135106539549,0.7865052261202525
HistGradientBoosting,forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,194.97946354713557,10.566865565719024,108.67629215014472,178.41427335291434,0.4969973079312487
LightGBM,forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,248.82697747824395,9.993142394119824,128.71931571771347,216.0002252880266,0.8832086450540316
LightGBM,forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,231.28296425476893,10.619694738929427,125.75817044740893,206.94079179658067,0.7865052261202525
LightGBM,forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,182.85826996350823,9.726042652851524,97.23782313401966,166.16291656619345,0.4969973079312487
absolute error (current),forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,252.81353945026783,10.211739854756093,132.35285721759323,219.9395539664849,0.8832086450540316
absolute error (current),forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,238.49287288905708,10.927059749208217,128.18508122942967,214.135106539549,0.7865052261202525
absolute error (current),forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,194.97946354713557,10.566865565719024,108.67629215014472,178.41427335291434,0.4969973079312487
squared error,forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,260.9467128321776,10.692947845426005,139.8567970963054,228.47754910421764,0.8832086450540316
squared error,forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,264.5637909917183,12.507851684331445,154.53243035497349,240.7910035963173,0.7865052261202525
squared error,forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,225.53141476425327,12.770292959299779,141.14958690179662,209.33062005431734,0.4969973079312487
halflife 60d,forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,254.98672819750016,10.277998129873076,133.131968737009,222.1488469058598,0.8832086450540316
halflife 60d,forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,237.7947907214248,10.875794959271749,127.11865373575915,213.50079635900278,0.7865052261202525
halflife 60d,forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,216.58456097653226,11.825160004786843,121.06312010998198,200.2698189117715,0.4969973079312487
halflife 120d,forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,253.80357568605388,10.23648915785453,132.20868680238033,220.82329627379193,0.8832086450540316
halflife 120d,forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,237.3005430179547,10.868064583091734,126.79227383818261,212.97512112250726,0.7865052261202525
halflife 120d,forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,196.62391347478115,10.709750954518336,109.99638537274228,180.10568110855752,0.4969973079312487
halflife 240d,forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,254.24819781061973,10.286952469388448,133.29204845090112,221.33842443909612,0.8832086450540316
halflife 240d,forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,237.24158623530045,10.903291076603281,128.65685359567033,212.93652050989223,0.7865052261202525
halflife 240d,forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,202.03656031090426,11.00695486448326,113.5682354179221,185.64876654449753,0.4969973079312487
deeper (63 leaves),forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,246.96004094311462,9.883518473435943,127.29296312986696,214.036439336624,0.8832086450540316
deeper (63 leaves),forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,224.7068953887493,10.167377977305629,118.80316652656325,200.1884279172437,0.7865052261202525
deeper (63 leaves),forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,183.44050984436592,9.94485973632215,103.40361162451211,166.88259828881021,0.4969973079312487
"slower (lr .03, 600)",forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,253.9101490968981,10.275949982233703,132.75685514861425,220.96590204454185,0.8832086450540316
"slower (lr .03, 600)",forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,238.8165788199235,10.971126514689466,129.04991657451126,214.44641544258448,0.7865052261202525
"slower (lr .03, 600)",forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,201.4705621290055,10.966343515158949,114.22765805919528,184.99982779451972,0.4969973079312487
more regularised,forward_chain,1,2025-05-01,2025-05-02,2025-07-01,19055,9624,253.38078850579294,10.253018383730389,132.05364249688233,220.51078678317785,0.8832086450540316
more regularised,forward_chain,2,2025-07-01,2025-07-02,2025-08-31,28679,9663,233.3894439172294,10.67539781447715,124.72826512806137,208.89268819565868,0.7865052261202525
more regularised,forward_chain,3,2025-08-31,2025-09-01,2025-10-31,38342,9658,197.26570701039822,10.640286247351955,109.70601168217047,180.74412554675936,0.4969973079312487
